Title,Translation,Color,Duration,Speaker,Nextsubtitle,Delaytonextsubtitle,Style
GAMESAVED,#CaptionMod_GameSaved,,,,,,
GAMETITLE,#GAMETITLE,,,,,,
CR27,#CR27,,,,,,
CR28,#CR28,,,,,,
CR29,#CR29,,,,,,
CR30,#CR30,,,,,,
CR31,#CR31,,,,,,
CR32,#CR32,,,,,,
CR33,#CR33,,,,,,
CR34,#CR34,,,,,,
GAMEOVER,#GAMEOVER,,,,,,
TRAITOR,#TRAITOR,,,,,,
LOSER,#LOSER,,,,,,
T0A0TITLE,#T0A0TITLE,,,,,,
C0A0TITLE,#C0A0TITLE,,,,,,
C0A1TITLE,#C0A1TITLE,,,,,,
C1A1TITLE,#C1A1TITLE,,,,,,
C1A2TITLE,#C1A2TITLE,,,,,,
C1A3TITLE,#C1A3TITLE,,,,,,
C1A4TITLE,#C1A4TITLE,,,,,,
C2A1TITLE,#C2A1TITLE,,,,,,
C2A2TITLE,#C2A2TITLE,,,,,,
C2A3TITLE,#C2A3TITLE,,,,,,
C2A4TITLE1,#C2A4TITLE1,,,,,,
C2A4TITLE2,#C2A4TITLE2,,,,,,
C2A5TITLE,#C2A5TITLE,,,,,,
C3A1TITLE,#C3A1TITLE,,,,,,
C3A2TITLE,#C3A2TITLE,,,,,,
C4A1TITLE,#C4A1TITLE,,,,,,
C4A1ATITLE,#C4A1ATITLE,,,,,,
C4A2TITLE,#C4A2TITLE,,,,,,
C4A3TITLE,#C4A3TITLE,,,,,,
C5TITLE,#C5TITLE,,,,,,
HZBUTTON1,#HZBUTTON1,,,,,,
HZBUTTON2,#HZBUTTON2,,,,,,
HZMOVE,#HZMOVE,,,,,,
HZJUMP,#HZJUMP,,,,,,
HZDUCK,#HZDUCK,,,,,,
HZCOMBO,#HZCOMBO,,,,,,
HZDUCKJUMP,#HZDUCKJUMP,,,,,,
HZLADDER,#HZLADDER,,,,,,
HZLJUMP,#HZLJUMP,,,,,,
HZLMOD,#HZLMOD,,,,,,
HZMEDKIT,#HZMEDKIT,,,,,,
HZMOMENT,#HZMOMENT,,,,,,
HZPUSH,#HZPUSH,,,,,,
HZPULL,#HZPULL,,,,,,
HZCROWBAR,#HZCROWBAR,,,,,,
HZLITEON,#HZLITEON,,,,,,
HZLITEOFF,#HZLITEOFF,,,,,,
HZWEAPON,#HZWEAPON,,,,,,
HZFIREWEAP,#HZFIREWEAP,,,,,,
HZARMOR,#HZARMOR,,,,,,
HZSWIM,#HZSWIM,,,,,,
HZDAMAGE,#HZDAMAGE,,,,,,
HZHAZARD,#HZHAZARD,,,,,,
HZSCIENTIST,#HZSCIENTIST,,,,,,
HZBARNEY,#HZBARNEY,,,,,,
HZTRAIN,#HZTRAIN,,,,,,
HZDONE,#HZDONE,,,,,,
C1A0_0,#C1A0_0,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_1,#C1A0_1,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_2,#C1A0_2,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_3,#C1A0_3,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_4,#C1A0_4,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_5,#C1A0_5,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_6,#C1A0_6,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_7,#C1A0_7,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_8,#C1A0_8,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_9,#C1A0_9,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_10,#C1A0_10,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_11,#C1A0_11,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_12,#C1A0_12,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_13,#C1A0_13,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_14,#C1A0_14,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_15,#C1A0_15,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_16,#C1A0_16,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_17,#C1A0_17,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_18,#C1A0_18,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_19,#C1A0_19,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_20,#C1A0_20,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_21,#C1A0_21,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A0_22,#C1A0_22,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_0,#C1A1_0,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_1,#C1A1_1,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_2,#C1A1_2,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_3,#C1A1_3,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_4,#C1A1_4,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_5,#C1A1_5,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_6,#C1A1_6,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_7,#C1A1_7,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_8,#C1A1_8,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_9,#C1A1_9,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_10,#C1A1_10,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A1_11,#C1A1_11,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_0,#C1A3_0,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_1,#C1A3_1,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_2,#C1A3_2,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_3,#C1A3_3,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_4,#C1A3_4,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_5,#C1A3_5,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_6,#C1A3_6,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_7,#C1A3_7,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_8,#C1A3_8,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_9,#C1A3_9,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_10,#C1A3_10,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_warn,#C1A3_warn,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C1A3_lock,#C1A3_lock,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
POWER_OFF,#POWER_OFF,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C3A1_8,#C3A1_8,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C3A2_0,#C3A2_0,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C3A2_1,#C3A2_1,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C3A2_2,#C3A2_2,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C3A2_3,#C3A2_3,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C3A2_4,#C3A2_4,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C3A2_5,#C3A2_5,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C3A2_6,#C3A2_6,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
C3A2_7,#C3A2_7,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
NA0,#NA0,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
NA1,#NA1,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
NA2,#NA2,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
NA3,#NA3,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
NA4,#NA4,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
NA5,#NA5,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
NA6,#NA6,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
NA7,#NA7,SweetRed,,#HalfLife_VOX,,,C IGNORE_DISTANCE_LIMIT
